clade,root_id
L,node_1
L.3,node_63
L.2,node_78
L.1,node_8
L.3.1,node_64
L.1.2,node_42
L.1.2.1,node_51
L.2.1,node_82
L.1.1,node_12
L.1.1.1,node_21
