clade,root_id
L,node_1
L.1,node_4
L.1.2,node_5
L.1.1,node_26
L.1.1.3,node_28
L.1.1.1,node_40
L.1.1.2,node_58
L.1.1.4,node_84
L.1.1.1.1,node_41
L.1.1.2.1,node_59
L.1.1.2.2,node_74
