clade,root_id
L,node_1
L.1,node_3
L.1.3,node_5
L.1.2,node_27
L.1.1,node_57
L.1.2.2,node_28
L.1.2.1,node_40
L.1.1.1,node_84
L.1.1.2,node_59
L.1.1.3,node_74
