Lineage	Frequency
auto.L.1.1.3	0.5499612830271873
auto.L.1	0.11704879723499492
L.1.1XL.1.1.4_high_1	0.06379040057236232
L.1XL.1.1.2.1_low_1	0.20470049446333258
auto.L.1.1.2	0.064499024702123
