Lineage	Frequency
auto.L.1.1.1	0.4632500513722818
L.1.1XL.1.3_high_1	0.1427427899280113
auto.L.1.1	0.1991023053767344
auto.L.1.2.1	0.14184178903017794
auto.L.1.3	0.05306306429279435
