Lineage	Frequency
L.1XL.1.1.2_low_1	0.19533192304438074
auto.L.1.1.2	0.35437584446961923
L.1XL.1.2.1_high_1	0.2898018490971537
auto.L.1.1	0.01750773753197212
L	0.14298264585687437
