SD	REP	SCALE	SNPs	Num_Sequences	Length	Prop_Variable	Haplotype_Diversity	Num_Duplicate_Haplotypes	Num_Unique_Haplotypes	Median_Edit_Dist	Min_Nonzero_P_Distance	Min_Nonzero_Hamming_Distance
0.2	3	0.5	19984	100	20000	0.9992	0.9898	1	99	0.2623597979545593	0.09445	1889
0.7	2	0.5	19987	100	20000	0.99935	0.9898	1	99	0.26042722165584564	0.622	12440
0.0	1	0.1	18689	100	20000	0.93445	0.9896	2	98	0.26203130185604095	0.15725	3145
0.0	3	1.0	20000	100	20000	1.0	0.9898	1	99	0.262988418340683	0.5095	10190
0.7	2	1.0	20000	100	20000	1.0	0.9898	1	99	0.2629532814025879	0.6953	13906
0.5	2	0.01	6072	100	20000	0.3036	0.9898	1	99	0.36239466071128845	0.034	680
0.4	4	10.0	20000	100	20000	1.0	0.9898	1	99	0.2565177083015442	0.73675	14735
0.0	3	5.0	20000	100	20000	1.0	0.9898	1	99	0.2591363489627838	0.6914	13828
0.0	1	0.5	19994	100	20000	0.9997	0.9896	2	98	0.26257455348968506	0.4305	8610
0.7	2	0.1	18478	100	20000	0.9239	0.9898	1	99	0.27457043528556824	0.38515	7703
0.2	3	0.1	18412	100	20000	0.9206	0.9898	1	99	0.2760355770587921	0.0197	394
1.0	2	0.01	3351	100	20000	0.16755	0.9894000000000001	3	97	0.38282886147499084	0.00435	87
0.8	5	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2636086493730545	0.74665	14933
0.6	5	1.0	20000	100	20000	1.0	0.9898	1	99	0.2630936801433563	0.67405	13481
0.6	5	5.0	20000	100	20000	1.0	0.9898	1	99	0.2592514455318451	0.75325	15065
0.2	1	10.0	20000	100	20000	1.0	0.9898	1	99	0.25830116868019104	0.7463	14926
1.0	2	10.0	20000	100	20000	1.0	0.9898	1	99	0.25722071528434753	0.6554	13108
0.4	1	0.01	7473	100	20000	0.37365	0.9896	2	98	0.3458539545536041	0.026	520
0.5	2	10.0	20000	100	20000	1.0	0.9898	1	99	0.2583315074443817	0.7509	15018
0.8	5	0.5	19369	100	20000	0.96845	0.9898	1	99	0.2695819288492203	0.5236	10472
0.5	4	0.1	17611	100	20000	0.88055	0.9898	1	99	0.27790941298007965	0.27105	5421
0.1	3	0.01	10734	100	20000	0.5367	0.9898	1	99	0.3195549547672272	0.01965	393
0.5	4	0.5	19912	100	20000	0.9956	0.9898	1	99	0.26004302501678467	0.5462	10924
0.8	5	0.1	16036	100	20000	0.8018	0.9898	1	99	0.288545161485672	0.25255	5051
0.5	2	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2560695558786392	0.7503	15006
0.2	3	10.0	20000	100	20000	1.0	0.9898	1	99	0.2578522861003876	0.5533	11066
0.8	5	0.01	4905	100	20000	0.24525	0.9894000000000001	3	97	0.36501871049404144	0.0354	708
1.0	2	1000.0	20000	100	20000	1.0	0.9898	1	99	0.26133696734905243	0.7549	15098
0.5	4	1.0	19997	100	20000	0.99985	0.9898	1	99	0.2579897344112396	0.6351	12702
0.4	1	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2561502754688263	0.7537	15074
0.5	4	5.0	20000	100	20000	1.0	0.9898	1	99	0.2542756348848343	0.74515	14903
0.1	5	5.0	20000	100	20000	1.0	0.9898	1	99	0.262187123298645	0.6062	12124
0.0	3	0.01	9893	100	20000	0.49465	0.9898	1	99	0.3273441195487976	0.01425	285
0.6	5	10.0	20000	100	20000	1.0	0.9898	1	99	0.26263943314552307	0.75525	15105
0.2	1	0.01	11529	100	20000	0.57645	0.9898	1	99	0.32081781327724457	0.0509	1018
0.2	1	0.1	18929	100	20000	0.94645	0.9898	1	99	0.2661978304386139	0.3275	6550
0.0	3	0.5	19984	100	20000	0.9992	0.9898	1	99	0.25801393389701843	0.39025	7805
0.5	2	0.5	19695	100	20000	0.98475	0.9898	1	99	0.25997841358184814	0.52055	10411
0.1	5	1.0	20000	100	20000	1.0	0.9898	1	99	0.2559693902730942	0.37025	7405
0.5	2	0.1	16964	100	20000	0.8482	0.9898	1	99	0.2764040231704712	0.24675	4935
0.0	3	0.1	18545	100	20000	0.92725	0.9898	1	99	0.27066221833229065	0.1331	2662
0.2	1	0.5	19999	100	20000	0.99995	0.9898	1	99	0.2559669762849808	0.58145	11629
1.0	2	0.1	14336	100	20000	0.7168	0.9896	2	98	0.31152530014514923	0.05175	1035
0.2	1	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2583927810192108	0.7494	14988
0.2	1	1.0	20000	100	20000	1.0	0.9898	1	99	0.2535516917705536	0.65765	13153
0.5	4	10.0	20000	100	20000	1.0	0.9898	1	99	0.26209557056427	0.75055	15011
0.0	3	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2549068331718445	0.7504	15008
1.0	2	0.5	18699	100	20000	0.93495	0.9896	2	98	0.26936057209968567	0.19845	3969
0.2	1	5.0	20000	100	20000	1.0	0.9898	1	99	0.25442735850811005	0.74485	14897
