	trees_s0.4_r5_scale0.001_rep2.variants.tsv
summarized	[('Other', 1.0)]
lineages	auto.L.2.2 auto.L.2.1.1 auto.L.2.1 auto.L.2 L.2.1XL.2.2_high_1 L auto.L.1 auto.L.1.1
abundances	0.16398010 0.16398010 0.16398010 0.16398010 0.16398010 0.16398010 0.00805971 0.00805971
resid	1.4585554986012994e-13
coverage	100.0
