	trees_s0.5_r4_scale0.01_rep3.variants.tsv
summarized	[('Other', 0.9999999999998564)]
lineages	auto.L.2.1 auto.L.1.3 L.1.2.1XL.1.3_high_1
abundances	0.63791088 0.30628287 0.05580626
resid	1.5228672288502696e-12
coverage	100.0
