	trees_s0.7_r5_scale0.001_rep4.variants.tsv
summarized	[('Other', 0.9999999999998506)]
lineages	auto.L.1.2 auto.L.1.1.3 auto.L.1.1.2.3 auto.L.1.1.2.2 auto.L.1.1.2 auto.L.1.1.1.1 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1.1.1XL.1.1.2.1_low_1 L
abundances	0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
resid	1.491413307603531e-13
coverage	100.0
