	trees_s0.9_r1_scale1.0_rep1.variants.tsv
summarized	[('Other', 0.9999999999999847)]
lineages	auto.L.1 L.1XL.1.1_high_1 auto.L.1.2.2 auto.L.1.3
abundances	0.47312004 0.38297347 0.13227354 0.01163295
resid	3.547048022093067e-12
coverage	100.0
