	trees_s0.1_r3_scale0.0001_rep1.variants.tsv
summarized	[('Other', 0.9999999999999933)]
lineages	auto.L.5.1 auto.L.5 auto.L.4 auto.L.3 auto.L.2 auto.L.1.1 auto.L.1 L.1.1XL.5.1_high_1 L
abundances	0.23937730 0.09507784 0.09507784 0.09507784 0.09507784 0.09507784 0.09507784 0.09507784 0.09507784
resid	6.839834254535049e-12
coverage	100.0
