	trees_s0.6_r2_scale10.0_rep5.variants.tsv
summarized	[('Other', 0.9999999999999842)]
lineages	L.1.1.1.1XL.1.2_high_1 L.1.1.1XL.1.2.1_low_1 auto.L.1.1 auto.L.1.1.1.2
abundances	0.56098801 0.22296521 0.18838190 0.02766489
resid	3.18256458505875e-12
coverage	100.0
