	trees_s0.3_r5_scale0.1_rep1.variants.tsv
summarized	[('Other', 0.9999999999999852)]
lineages	L.1XL.2_high_1 auto.L.2.1.2
abundances	0.90579752 0.09420248
resid	1.860861496077078e-12
coverage	100.0
