	trees_s0.0_r5_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.9999999999999503)]
lineages	auto.L.2.1 auto.L.1.3 auto.L.3 auto.L.1 auto.L.1.1
abundances	0.52329375 0.20194480 0.14213371 0.10097893 0.03164880
resid	3.9589716895523504e-12
coverage	100.0
