	trees_s0.0_r5_scale10.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999999)]
lineages	auto.L.1.1 auto.L.2
abundances	0.62227783 0.37772217
resid	4.154255751165066e-13
coverage	100.0
