	trees_s0.4_r5_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.999999999999851)]
lineages	auto.L.1.1 auto.L.2.1 auto.L.2.2 L.2XL.2.1.1_high_1
abundances	0.56613108 0.23628941 0.14012576 0.05745376
resid	2.930324862147226e-12
coverage	100.0
