	trees_s0.0_r5_scale0.01_rep5.variants.tsv
summarized	[('Other', 0.999999999999978)]
lineages	L L.1.1XL.1.3_high_1
abundances	0.77488306 0.22511694
resid	8.035509074824408e-13
coverage	100.0
