	trees_s0.4_r5_scale0.01_rep3.variants.tsv
summarized	[('Other', 0.9999999999989309)]
lineages	auto.L.2.1.1 L.1XL.2.2_high_1 auto.L.2 auto.L.1.1 auto.L.1
abundances	0.38246483 0.27175647 0.17990459 0.08363319 0.08224093
resid	4.1495932332392926e-12
coverage	100.0
