	trees_s0.5_r4_scale0.001_rep1.variants.tsv
summarized	[('Other', 0.9999999999813204)]
lineages	auto.L.1.2 auto.L.1.2.1 L.1.2XL.1.2.1_low_1 auto.L.2.1 L auto.L.1.3 auto.L.1 L.1.1XL.1.2_high_1
abundances	0.21030541 0.21030541 0.21030541 0.16529272 0.10543663 0.04011750 0.04011750 0.01811942
resid	1.3676804322612643e-11
coverage	100.0
