	trees_s0.2_r4_scale0.001_rep5.variants.tsv
summarized	[('Other', 0.999999999972794)]
lineages	L.1XL.1.1_low_1 auto.L.1.1
abundances	0.50000000 0.50000000
resid	3.642236036524315e-11
coverage	100.0
