	trees_s1.0_r1_scale0.001_rep3.variants.tsv
summarized	[('Other', 1.0000000000000038)]
lineages	L auto.L.1.3 auto.L.1.2.2 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.1.1_high_1
abundances	0.17626339 0.10296708 0.10296708 0.10296708 0.10296708 0.10296708 0.10296708 0.10296708 0.10296708
resid	7.389422407300117e-12
coverage	100.0
