	trees_s0.4_r5_scale0.1_rep1.variants.tsv
summarized	[('Other', 0.9999999999997908)]
lineages	auto.L.2 L.1.1XL.2.2_low_1 L auto.L.2.1.1
abundances	0.52553580 0.25109141 0.11242850 0.11094429
resid	2.640934493114243e-12
coverage	100.0
