	trees_s1.0_r1_scale1.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999832)]
lineages	auto.L.1.2 L.1.1XL.1.2.2_low_1 L auto.L.1.2.2 auto.L.1.3
abundances	0.56620798 0.27182837 0.08828690 0.05479853 0.01887822
resid	4.315953875807769e-12
coverage	100.0
