	trees_s0.3_r5_scale0.001_rep4.variants.tsv
summarized	[('Other', 0.9999999999900682)]
lineages	L.1.2XL.2.2_high_1 auto.L.1.2 auto.L.1 L.1.2XL.2.1.2_high_1 auto.L.2.2 auto.L.2.1.2 auto.L.2.1.1 auto.L.2.1 auto.L.2
abundances	0.46847125 0.17085416 0.17085416 0.17085416 0.00379325 0.00379325 0.00379325 0.00379325 0.00379325
resid	1.1550923028393901e-11
coverage	100.0
