	trees_s1.0_r1_scale1.0_rep5.variants.tsv
summarized	[('Other', 0.9999999999999704)]
lineages	auto.L.1.2 L L.1.2.2XL.1.3_high_1 auto.L.1.1
abundances	0.48153474 0.28107338 0.22009402 0.01729787
resid	2.6189856609344975e-12
coverage	100.0
