	trees_s0.5_r4_scale10.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999943)]
lineages	auto.L.1.3 L.1.2.1XL.2_low_1 auto.L.1 L.1XL.1.2.1_high_1
abundances	0.56040181 0.20455797 0.19402859 0.04101164
resid	2.700467623614005e-12
coverage	100.0
