	trees_s0.3_r5_scale0.01_rep2.variants.tsv
summarized	[('Other', 0.9999999999995843)]
lineages	auto.L.2.1.1 auto.L.2.1 L.1.2XL.2.1_high_1 L.1.1XL.1.2_low_1 L
abundances	0.40193390 0.21116091 0.20571596 0.16920023 0.01198899
resid	4.753508252693155e-12
coverage	100.0
