	trees_s0.5_r4_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.9999999999999943)]
lineages	auto.L.1.2 auto.L.2
abundances	0.60005979 0.39994021
resid	3.422573003253345e-13
coverage	100.0
