	trees_s0.1_r3_scale0.01_rep3.variants.tsv
summarized	[('Other', 0.9999999999884476)]
lineages	auto.L.2 auto.L.3 auto.L.1 L auto.L.5
abundances	0.48679210 0.21354463 0.19216581 0.09751159 0.00998586
resid	3.782190105507078e-11
coverage	100.0
