	trees_s0.6_r2_scale0.001_rep1.variants.tsv
summarized	[('Other', 0.9999999999999314)]
lineages	auto.L.1.4 auto.L.1.3 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.4_high_1 L
abundances	0.10741000 0.10741000 0.10741000 0.10741000 0.10741000 0.10741000 0.10741000 0.10741000 0.10741000 0.03331002
resid	1.606609003057621e-13
coverage	100.0
