	trees_s0.6_r2_scale0.001_rep2.variants.tsv
summarized	[('Other', 0.9999999999999997)]
lineages	L L.1.1XL.1.2_high_1 auto.L.1.4 auto.L.1.3 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.4_high_1
abundances	0.25943071 0.11856198 0.06911192 0.06911192 0.06911192 0.06911192 0.06911192 0.06911192 0.06911192 0.06911192 0.06911192
resid	2.076255833927121e-13
coverage	100.0
