	trees_s0.0_r5_scale0.0001_rep5.variants.tsv
summarized	[('Other', 0.9999999999999999)]
lineages	auto.L.3.2 auto.L.4 auto.L.3.1 auto.L.3 auto.L.2.1 auto.L.2 auto.L.1.1 auto.L.1 L.1XL.2_high_1 L
abundances	0.24452262 0.08394193 0.08394193 0.08394193 0.08394193 0.08394193 0.08394193 0.08394193 0.08394193 0.08394193
resid	5.709321904134868e-14
coverage	100.0
