	trees_s0.4_r5_scale1.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999963)]
lineages	auto.L.2 auto.L.2.1 auto.L.1
abundances	0.40955236 0.30795705 0.28249059
resid	7.982879176034428e-13
coverage	100.0
