	trees_s0.4_r5_scale1.0_rep1.variants.tsv
summarized	[('Other', 0.9999999999999973)]
lineages	auto.L.1.1 auto.L.2 L.1.1XL.2.2_high_1
abundances	0.51608267 0.41062273 0.07329460
resid	1.955126474596554e-12
coverage	100.0
