	trees_s1.0_r1_scale0.01_rep2.variants.tsv
summarized	[('Other', 0.9999999999978848)]
lineages	L.1XL.1.1_high_1 auto.L.1.3 auto.L.1.2.1 auto.L.1.2 auto.L.1
abundances	0.68659542 0.29573792 0.00588889 0.00588889 0.00588889
resid	4.223850362413516e-12
coverage	100.0
