	trees_s0.1_r3_scale1.0_rep1.variants.tsv
summarized	[('Other', 0.999999999999996)]
lineages	auto.L.2 L L.1.1XL.5.1_high_1 auto.L.5 auto.L.5.1
abundances	0.43374405 0.32268864 0.11255483 0.09614747 0.03486502
resid	2.5254911794177187e-12
coverage	100.0
