	trees_s0.1_r3_scale0.1_rep1.variants.tsv
summarized	[('Other', 0.9999999999999336)]
lineages	L.1.1XL.3_high_1 L.2XL.5_low_1 auto.L.2 auto.L.1
abundances	0.39373101 0.31595896 0.21795749 0.07235254
resid	2.373744025895215e-12
coverage	100.0
