	trees_s0.5_r4_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999999948)]
lineages	auto.L.1.2 auto.L.2
abundances	0.61653626 0.38346374
resid	4.155556567971534e-13
coverage	100.0
