	trees_s0.3_r5_scale0.001_rep2.variants.tsv
summarized	[('Other', 0.9999999999984658)]
lineages	L.1.2XL.2.2_high_1 L.1XL.2.1.2_low_1 auto.L.2.2 auto.L.2.1.2 auto.L.2.1.1 auto.L.2.1 auto.L.2
abundances	0.28576707 0.26488215 0.08987016 0.08987016 0.08987016 0.08987016 0.08987016
resid	1.8151038350548371e-12
coverage	100.0
