	trees_s0.1_r3_scale0.001_rep4.variants.tsv
summarized	[('Other', 0.9999999999186706)]
lineages	auto.L.5.1 auto.L.5 auto.L.4 L.1XL.5.1_low_1 L auto.L.1 auto.L.1.1
abundances	0.14534790 0.14534790 0.14534790 0.14534790 0.14534790 0.13663025 0.13663025
resid	1.137521375618721e-10
coverage	100.0
