	trees_s0.7_r5_scale10.0_rep5.variants.tsv
summarized	[('Other', 0.9999999999999901)]
lineages	auto.L.1.1.2.1 L.1XL.1.1_high_1 L auto.L.1.2
abundances	0.41160481 0.24329579 0.19270070 0.15239870
resid	2.045219813653844e-12
coverage	100.0
