	trees_s1.0_r1_scale0.1_rep5.variants.tsv
summarized	[('Other', 0.9999999999997317)]
lineages	auto.L.1 auto.L.1.2.1 auto.L.1.2.2
abundances	0.47886271 0.40020632 0.12093097
resid	2.1651554223058677e-12
coverage	100.0
