	trees_s0.6_r2_scale0.001_rep5.variants.tsv
summarized	[('Other', 0.9999999999998882)]
lineages	L.1.1XL.1.2_high_1 auto.L.1.4 auto.L.1.3 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.4_high_1
abundances	0.17869674 0.09125592 0.09125592 0.09125592 0.09125592 0.09125592 0.09125592 0.09125592 0.09125592 0.09125592
resid	1.6178725026350094e-13
coverage	100.0
