	trees_s0.5_r4_scale0.1_rep1.variants.tsv
summarized	[('Other', 0.9999999999999225)]
lineages	auto.L.1 L.1.3XL.2.1_high_1 auto.L.1.2 auto.L.2.1 auto.L.2
abundances	0.32532470 0.29372425 0.18976615 0.09929803 0.09188687
resid	3.0218887526293045e-12
coverage	100.0
