	trees_s0.7_r5_scale0.001_rep3.variants.tsv
summarized	[('Other', 0.999999999999389)]
lineages	L.1.1.1.1XL.1.1.2.1_high_1 auto.L.1.1.2.1 auto.L.1.2 auto.L.1.1.3 auto.L.1.1.2.3 auto.L.1.1.2.2 auto.L.1.1.2 auto.L.1.1.1.1 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1.1.1XL.1.1.2.1_low_1 L
abundances	0.67416853 0.05697122 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184 0.02444184
resid	4.221267715949293e-12
coverage	100.0
