	trees_s0.0_r5_scale0.01_rep1.variants.tsv
summarized	[('Other', 0.9999999999997133)]
lineages	auto.L.2 auto.L.1.1 auto.L.1 auto.L.3
abundances	0.47120353 0.23740914 0.18588486 0.10550247
resid	3.3638620000486293e-12
coverage	100.0
