	trees_s0.1_r3_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999999238)]
lineages	L.2XL.5_low_1 auto.L.3 L auto.L.2 auto.L.1.1
abundances	0.30125801 0.30019187 0.16680642 0.14393641 0.08780729
resid	3.615836884012943e-12
coverage	100.0
