	trees_s0.0_r5_scale10.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999895)]
lineages	auto.L.2 L.2.1XL.3_low_1 auto.L.1.3 L
abundances	0.33620929 0.22177296 0.22163526 0.22038248
resid	1.9884391038484055e-12
coverage	100.0
