	trees_s0.1_r3_scale10.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999933)]
lineages	auto.L.1.1 auto.L.5.1 L.1XL.2_high_1 auto.L.4 auto.L.5
abundances	0.63314548 0.16833081 0.08017095 0.06488887 0.05346388
resid	3.223550491746215e-12
coverage	100.0
