	trees_s0.1_r3_scale0.001_rep3.variants.tsv
summarized	[('Other', 0.9999999998901506)]
lineages	auto.L.1 auto.L.1.1 auto.L.5.1 auto.L.5 auto.L.4 L.1XL.5.1_low_1 L
abundances	0.21238045 0.21238045 0.11504782 0.11504782 0.11504782 0.11504782 0.11504782
resid	1.5589821022069738e-10
coverage	100.0
