	trees_s0.4_r5_scale1.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999993)]
lineages	L.1.1XL.2.2_high_1 auto.L.2.2
abundances	0.66480123 0.33519877
resid	4.781182251677099e-13
coverage	100.0
