	trees_s1.0_r1_scale1.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999999)]
lineages	auto.L.1.2 auto.L.1.2.1
abundances	0.54961754 0.45038246
resid	2.253378747010303e-13
coverage	100.0
