	trees_s0.9_r1_scale0.1_rep3.variants.tsv
summarized	[('Other', 0.9999999999992883)]
lineages	L.1.2XL.1.2.2_high_1 auto.L.1.2.2 auto.L.1.1 auto.L.1
abundances	0.41399022 0.26464249 0.26266282 0.05870447
resid	5.635261036839326e-12
coverage	100.0
