	trees_s0.5_r4_scale0.01_rep2.variants.tsv
summarized	[('Other', 0.9999999999987434)]
lineages	L auto.L.1.1 L.1.2.1XL.1.3_high_1
abundances	0.72341381 0.17819309 0.09839310
resid	3.5731747378863932e-12
coverage	100.0
