	trees_s0.2_r4_scale0.0001_rep5.variants.tsv
summarized	[('Other', 1.0000000000000007)]
lineages	auto.L.3 auto.L.2.2.1 auto.L.2.2 auto.L.2.1.1 auto.L.2.1 auto.L.2 L.2XL.3_high_1 L auto.L.1 auto.L.1.1 L.1.1XL.2.1.1_high_1
abundances	0.09276048 0.09276048 0.09276048 0.09276048 0.09276048 0.09276048 0.09276048 0.09276048 0.08597205 0.08597205 0.08597205
resid	2.242206420532966e-12
coverage	100.0
