	trees_s0.1_r3_scale0.1_rep5.variants.tsv
summarized	[('Other', 0.9999999999999993)]
lineages	auto.L.5 auto.L.2
abundances	0.58346879 0.41653121
resid	2.179764664438487e-13
coverage	100.0
