	trees_s0.1_r3_scale1.0_rep5.variants.tsv
summarized	[('Other', 0.9999999999999953)]
lineages	auto.L.2 auto.L.5.1 L L.1.1XL.5.1_high_1
abundances	0.38370759 0.27921143 0.19487077 0.14221021
resid	1.9391156644961813e-12
coverage	100.0
