	trees_s0.3_r5_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.9999999999999795)]
lineages	L.1XL.2_high_1 auto.L.2.1
abundances	0.81362920 0.18637080
resid	2.0441309146172635e-12
coverage	100.0
