	trees_s0.9_r1_scale0.001_rep2.variants.tsv
summarized	[('Other', 0.9999999999970053)]
lineages	auto.L.1.4 auto.L.1.2.2 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.4_high_1
abundances	0.12500000 0.12500000 0.12500000 0.12500000 0.12500000 0.12500000 0.12500000 0.12500000
resid	2.9944038031457606e-12
coverage	100.0
