	trees_s1.0_r1_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999998083)]
lineages	auto.L.1.2.1 auto.L.1.1 auto.L.1.1.1
abundances	0.60909079 0.29914627 0.09176294
resid	2.743717685374129e-12
coverage	100.0
