	trees_s0.3_r5_scale0.001_rep5.variants.tsv
summarized	[('Other', 0.9999999999985177)]
lineages	L.1XL.2.1.2_low_1 auto.L.1.2 auto.L.1 L.1.2XL.2.1.2_high_1 auto.L.2.2 auto.L.2.1.2 auto.L.2.1.1 auto.L.2.1 auto.L.2
abundances	0.35357908 0.20700512 0.20700512 0.20700512 0.00508111 0.00508111 0.00508111 0.00508111 0.00508111
resid	1.5642433131975811e-12
coverage	100.0
