	trees_s0.1_r3_scale1.0_rep4.variants.tsv
summarized	[('Other', 0.999999999999998)]
lineages	L.1.1XL.2_low_1 auto.L.1
abundances	0.75529301 0.24470699
resid	8.507441244651129e-13
coverage	100.0
