	trees_s0.0_r5_scale0.001_rep5.variants.tsv
summarized	[('Other', 0.9999999999968767)]
lineages	auto.L.2 auto.L.1.3 auto.L.1
abundances	0.98655118 0.00672441 0.00672441
resid	5.915551762368586e-12
coverage	100.0
